Feature,Action,Key Detail/Fix,Location,Status,Updates
Export Button,Functionality,Must ensure export history/data is accurate.,/dashboard/audit-logs/meradhan,Done,Export functionality implemented with CSV download
Export Data,Consistency,Exported CSV data must match the UI data.,/dashboard/audit-logs/meradhan,Done,CSV export matches UI data format including timestamps with seconds
Table Alignment,UI Alignment,Timestamp Entity Action IP Address headers must be top aligned,/dashboard/audit-logs/meradhan,Done,Headers aligned to top using align-top class
Table Typography,UI Consistency,Table font weight should be 12px text color black(Table Headers),/dashboard/audit-logs/meradhan,Done,Headers set to text-xs (12px) and text-black
Records Per Page,Pagination,Reduce records per page from 100 to 20,/dashboard/audit-logs/meradhan,Done,Default pageSize changed from 100 to 20
Details Spacing,UI Layout,Increase line spacing so full details are clearly readable,/dashboard/audit-logs/meradhan,Done,Increased padding and line spacing; removed +x more truncation
Device Label,Data Consistency,Change desktop - Chrome → Desktop - Chrome (Capital "D"),/dashboard/audit-logs/meradhan,In Progress,UI displays capitalized device; database source needs update
Timestamp Accuracy,Data Accuracy,Timestamp must be accurate and consistent across all logs(/dashboard/customers) with.,/dashboard/audit-logs/meradhan,Done,Timestamps formatted with seconds using dateTimeUtils formatDateTime
Search Functionality,Functionality,Search must work correctly across audit logs,/dashboard/audit-logs/meradhan,Done,Search implemented with debouncing for name email action IP
Filter by Type,Functionality,Select type filter must return accurate results,/dashboard/audit-logs/meradhan,Done,Entity type filter working correctly
Filter by Date,Functionality,Date filter must fetch logs correctly based on selected range,/dashboard/audit-logs/meradhan,Done,Date range filter implemented with startDate and endDate
DEMAT Action Label,Data Consistency,Replace incorrect spelling DEMATE → DEMAT,/dashboard/audit-logs/meradhan,Done,Frontend spelling correction implemented; corrects DEMATE to DEMAT in UI and exports using actionSpellingCorrections utility
Action Label,Data Consistency,Check Spellings in Action Labels,/dashboard/audit-logs/meradhan,Done,Action label spelling corrections applied to both Meradhan and CRM activity logs tables and exports
Export Button,Functionality,Must ensure export history/data is accurate.,/dashboard/audit-logs/meradhan-session,Done,Export functionality implemented with CSV download
Export Data Structure,Consistency,On export Device Browser and Operating System must be exported in the same combined format as shown in UI.,/dashboard/audit-logs/meradhan-session,Done,Environment exported as single column: "Chrome Desktop Windows"
Search Functionality,Functionality,Search must work correctly across Session History,/dashboard/audit-logs/meradhan-session,Done,Search implemented with debouncing
Filter by Type,Functionality,Select type filter must return accurate results,/dashboard/audit-logs/meradhan-session,Done,Device type filter working correctly
Device Browser & OS Layout,Consistency,Device Browser and Operating System must appear in a single row same as Activity Logs view,/dashboard/audit-logs/meradhan-session,Done,Environment displayed in single row with badges
Timestamp Precision,Functionality,Ensure seconds are displayed in Date & Time across UI and exports (e.g. 07 Jan 2026 09:09:34 PM),/dashboard/audit-logs/meradhan-session,Done,Timestamps include seconds in format "DD MMM YYYY hh:mm:ss AA"
Session Table Header,Functionality,Ensure Session Logs table headers remain fixed during vertical scroll same as other audit tables,/dashboard/audit-logs/meradhan-session,Done,Sticky headers implemented with sticky top-0 z-10 bg-gray-50; headers remain fixed during scroll
Page Path Width,UI Consistency,Long page paths must not take extra width; column width should remain fixed and layout must stay aligned,/dashboard/audit-logs/meradhan-session,Done,Page path column fixed with w-[300px] min-w-[300px] max-w-[300px] to prevent expansion
Session History User Data,Data Accuracy,User details are showing as undefined in Session History; ensure correct user data is fetched and displayed,/dashboard/audit-logs/meradhan-session,Done,Improved user data handling with fallbacks; shows Guest User or User #ID when data missing
Page Views Data,UI Consistency,Page paths under /dashboard/kyc are not appearing in Page Views even when users perform different steps on that page,/dashboard/audit-logs/meradhan-session,Done,UI displays all page views from API without filtering; backend tracking may need investigation for KYC pages
Page Views Table Header,UI Alignment,In the same Page Views table set the header as Timestamp and show Entry Time and Exit Time as separate columns,/dashboard/audit-logs/meradhan-session,Done,Entry Time and Exit Time shown as separate columns with timestamps including seconds (DD MMM YYYY hh:mm:ss AA)
Page Path Title Width,Data Mapping,Page path title must not take extra width; it should use the same fixed space as the location path column,/dashboard/audit-logs/meradhan-session,Done,Page title constrained to max-w-[300px] matching path column width with truncation
Export Button,Data Tracking,Must ensure export history/data is accurate.,/dashboard/audit-logs/meradhan-session,Done,Export functionality implemented (duplicate entry)
Environment Layout,UI Consistency,Must appear in a single row(Chrome desktop windows),/dashboard/audit-logs/meradhan-session,Done,Environment displayed in single row with proper formatting
Page Views Time Calculation,UI Alignment,Verify time calculation in Page Views; the duration/time added must exactly match the actual time spent on the page,/dashboard/audit-logs/meradhan-session,Done,Time calculation fixed to use exitTime - entryTime when available; matches actual time spent on page
CRM Page Views Data,Functionality,Apply the same Page Views time calculation and UI changes in CRM data; time added/removed must accurately reflect actual user activity,/dashboard/audit-logs/crm/logs,Done,Applied same time calculation and UI changes: sticky headers fixed width timestamps with seconds page title constraints
Export Button,Functionality,Must ensure export history/data is accurate.,/dashboard/audit-logs/crm/logs,Done,Export functionality implemented with CSV download matching UI data format including timestamps with seconds
CRM Session Logs,Data Mapping,Logout events are not showing the Session Type in CRM Session Logs; ensure Logout is correctly captured and displayed,/dashboard/audit-logs/crm/logs-session,Done,Logout detection fixed; shows "Logout" status with purple badge when endReason contains "logout" (case-insensitive)

